nct_id,country
NCT02041533,United States
NCT00002583,Canada
NCT00002583,United States
NCT00245154,Argentina
NCT00245154,Australia
NCT00245154,Brazil
NCT00245154,Canada
NCT00245154,Romania
NCT00245154,Singapore
NCT00909909,United States
NCT05245474,China
NCT00804856,Austria
NCT00804856,Belgium
NCT00804856,Canada
NCT00804856,France
NCT00804856,Germany
NCT00804856,Italy
NCT00804856,Norway
NCT05536505,China
NCT01420926,United States
NCT01104155,Hong Kong
NCT01104155,Malaysia
NCT01104155,Singapore
NCT01104155,South Korea
NCT01104155,Taiwan
NCT01104155,Thailand
NCT01104155,United States
NCT01721759,France
NCT01721759,Germany
NCT01721759,Italy
NCT01721759,United States
NCT02104986,France
NCT04288999,Japan
NCT01258608,Germany
NCT01258608,Poland
NCT01258608,Puerto Rico
NCT01258608,Romania
NCT01258608,Russia
NCT01258608,Ukraine
NCT01258608,United States
NCT01088815,United States
NCT01685008,Belgium
NCT01685008,Germany
NCT01685008,Hungary
NCT01685008,Italy
NCT01685008,Poland
NCT01685008,Spain
NCT01685008,United States
NCT02470091,Canada
NCT02470091,Puerto Rico
NCT02470091,United States
NCT01812252,United States
NCT03097328,United States
NCT00976755,Switzerland
NCT01643850,Switzerland
NCT01643850,United States
NCT06388031,China
NCT06812260,Japan
NCT03200847,United States
NCT05550415,Indonesia
NCT06656169,Mexico
NCT07389629,China
NCT06358677,United States
NCT05343013,United States
NCT07032285,Spain
NCT02174549,United States
NCT05620628,South Korea
NCT06796998,United States
NCT06369155,United States
NCT05479045,United States
NCT07274761,China
NCT06567314,United States
NCT06592599,United States
NCT02734771,United States
NCT07515963,China
NCT07652905,China
NCT07145931,China
NCT05002816,United States
NCT06302569,Italy
NCT06399029,Switzerland
NCT07403435,China
NCT05800574,United States
NCT03456700,United States
NCT06412510,United States
NCT06307548,United States
NCT04975555,United States
NCT03839459,United States
NCT07354061,China
NCT06840561,China
NCT07528274,China
NCT06654570,Finland
NCT02207062,United States
NCT07551635,United States
NCT07543848,China
NCT05979363,China
NCT07505615,China
NCT06704828,China
NCT07078604,United States
NCT05903807,Denmark
NCT03362606,China
NCT06470464,China
NCT07253116,China
NCT05052099,Germany
NCT05052099,Spain
NCT03341143,United States
NCT07751471,China
NCT06015724,United States
NCT04847050,United States
NCT05326464,United States
NCT04873375,Netherlands
NCT04955743,United States
NCT01985087,United States
NCT05282459,United States
NCT06114940,China
NCT05988918,United States
NCT00640978,United States
NCT01162135,United States
NCT06207123,United States
NCT02691078,Brazil
NCT04716725,United States
NCT06987058,Poland
NCT06987058,Spain
NCT01022476,France
NCT00906893,France
NCT04307329,Netherlands
NCT07146672,China
NCT05141682,United States
NCT02521051,United States
NCT03736720,United States
NCT05381038,Singapore
NCT05514990,United States
NCT00179855,United States
NCT05445609,United States
NCT06807593,United States
NCT07645118,Canada
NCT03664635,Germany
NCT07363486,China
NCT04701918,United States
NCT05549921,China
NCT03993353,United States
NCT07011550,United States
NCT07701486,Spain
NCT04611126,Denmark
NCT04876248,United States
NCT03488225,United States
NCT04631744,United States
NCT04952571,China
NCT04103645,United States
NCT05131776,Hong Kong
NCT02780700,United States
NCT05766514,United States
NCT01052051,United States
NCT06393374,Argentina
NCT06393374,Australia
NCT06393374,Austria
NCT06393374,Belgium
NCT06393374,Brazil
NCT06393374,Canada
NCT06393374,Colombia
NCT06393374,Czechia
NCT06393374,Denmark
NCT06393374,Finland
NCT06393374,France
NCT06393374,Germany
NCT06393374,Greece
NCT06393374,Hong Kong
NCT06393374,Ireland
NCT06393374,Israel
NCT06393374,Italy
NCT06393374,Japan
NCT06393374,Malaysia
NCT06393374,Mexico
NCT06393374,Norway
NCT06393374,Poland
NCT06393374,Portugal
NCT06393374,Singapore
NCT06393374,South Korea
NCT06393374,Spain
NCT06393374,Sweden
NCT06393374,Switzerland
NCT06393374,Turkey (Türkiye)
NCT06393374,United Kingdom
NCT06393374,United States
NCT03396874,United States
NCT03834493,Argentina
NCT03834493,Australia
NCT03834493,Austria
NCT03834493,Brazil
NCT03834493,Bulgaria
NCT03834493,Canada
NCT03834493,Chile
NCT03834493,Colombia
NCT03834493,Czechia
NCT03834493,France
NCT03834493,Germany
NCT03834493,Hungary
NCT03834493,Ireland
NCT03834493,Israel
NCT03834493,Italy
NCT03834493,Japan
NCT03834493,Netherlands
NCT03834493,New Zealand
NCT03834493,Poland
NCT03834493,Puerto Rico
NCT03834493,Russia
NCT03834493,South Korea
NCT03834493,Spain
NCT03834493,Taiwan
NCT03834493,Turkey (Türkiye)
NCT03834493,Ukraine
NCT03834493,United Kingdom
NCT03834493,United States
NCT06136559,Australia
NCT06136559,Belgium
NCT06136559,Brazil
NCT06136559,Canada
NCT06136559,Chile
NCT06136559,China
NCT06136559,Colombia
NCT06136559,Czechia
NCT06136559,Denmark
NCT06136559,Germany
NCT06136559,Greece
NCT06136559,Hong Kong
NCT06136559,Israel
NCT06136559,Japan
NCT06136559,Malaysia
NCT06136559,Mexico
NCT06136559,New Zealand
NCT06136559,Norway
NCT06136559,Peru
NCT06136559,Poland
NCT06136559,Portugal
NCT06136559,South Africa
NCT06136559,Spain
NCT06136559,Sweden
NCT06136559,Taiwan
NCT06136559,Thailand
NCT06136559,Turkey (Türkiye)
NCT06136559,United Kingdom
NCT06136559,United States
NCT03036488,Australia
NCT03036488,Brazil
NCT03036488,Canada
NCT03036488,Colombia
NCT03036488,France
NCT03036488,Germany
NCT03036488,Ireland
NCT03036488,Israel
NCT03036488,Italy
NCT03036488,Japan
NCT03036488,Poland
NCT03036488,Portugal
NCT03036488,Russia
NCT03036488,Singapore
NCT03036488,South Korea
NCT03036488,Spain
NCT03036488,Sweden
NCT03036488,Taiwan
NCT03036488,Turkey (Türkiye)
NCT03036488,United Kingdom
NCT03036488,United States
NCT05691478,Australia
NCT05691478,Canada
NCT05691478,New Zealand
NCT05691478,United States
NCT05296746,France
NCT05296746,Portugal
NCT05296746,Spain
NCT07028853,Argentina
NCT07028853,Australia
NCT07028853,Belgium
NCT07028853,Brazil
NCT07028853,Bulgaria
NCT07028853,Canada
NCT07028853,China
NCT07028853,Czechia
NCT07028853,Finland
NCT07028853,France
NCT07028853,Germany
NCT07028853,Greece
NCT07028853,Israel
NCT07028853,Italy
NCT07028853,Japan
NCT07028853,Netherlands
NCT07028853,New Zealand
NCT07028853,Poland
NCT07028853,Slovakia
NCT07028853,South Korea
NCT07028853,Spain
NCT07028853,Switzerland
NCT07028853,Taiwan
NCT07028853,Turkey (Türkiye)
NCT07028853,United Kingdom
NCT07028853,United States
NCT04170283,Australia
NCT04170283,China
NCT04170283,Czechia
NCT04170283,France
NCT04170283,Germany
NCT04170283,Greece
NCT04170283,Italy
NCT04170283,Japan
NCT04170283,Netherlands
NCT04170283,New Zealand
NCT04170283,Poland
NCT04170283,South Korea
NCT04170283,Spain
NCT04170283,Sweden
NCT04170283,Turkey (Türkiye)
NCT04170283,United Kingdom
NCT04170283,United States
NCT05020236,Argentina
NCT05020236,Australia
NCT05020236,Brazil
NCT05020236,Canada
NCT05020236,China
NCT05020236,Czechia
NCT05020236,Finland
NCT05020236,France
NCT05020236,Germany
NCT05020236,Greece
NCT05020236,Italy
NCT05020236,Japan
NCT05020236,Mexico
NCT05020236,New Zealand
NCT05020236,Norway
NCT05020236,Poland
NCT05020236,Spain
NCT05020236,Sweden
NCT05020236,Taiwan
NCT05020236,Turkey (Türkiye)
NCT05020236,United Kingdom
NCT05020236,United States
NCT00002798,United States
NCT05909332,China
NCT07528768,Barbados
NCT07528768,Jamaica
NCT07528768,Trinidad and Tobago
NCT03600883,Australia
NCT03600883,Austria
NCT03600883,Belgium
NCT03600883,Brazil
NCT03600883,Canada
NCT03600883,France
NCT03600883,Germany
NCT03600883,Greece
NCT03600883,Hungary
NCT03600883,Japan
NCT03600883,Portugal
NCT03600883,Romania
NCT03600883,South Korea
NCT03600883,Spain
NCT03600883,Switzerland
NCT03600883,United States
NCT02181413,Argentina
NCT02181413,Australia
NCT02181413,Austria
NCT02181413,Belgium
NCT02181413,Brazil
NCT02181413,Canada
NCT02181413,Colombia
NCT02181413,Czechia
NCT02181413,Denmark
NCT02181413,France
NCT02181413,Germany
NCT02181413,Greece
NCT02181413,Hungary
NCT02181413,Israel
NCT02181413,Italy
NCT02181413,Japan
NCT02181413,Mexico
NCT02181413,Netherlands
NCT02181413,Norway
NCT02181413,Poland
NCT02181413,Portugal
NCT02181413,Singapore
NCT02181413,South Africa
NCT02181413,South Korea
NCT02181413,Spain
NCT02181413,Sweden
NCT02181413,Switzerland
NCT02181413,Taiwan
NCT02181413,Thailand
NCT02181413,Turkey (Türkiye)
NCT02181413,Ukraine
NCT02181413,United Kingdom
NCT02181413,United States
NCT03390686,Belarus
NCT03390686,Bulgaria
NCT03390686,Croatia
NCT03390686,Georgia
NCT03390686,Greece
NCT03390686,Hungary
NCT03390686,India
NCT03390686,Latvia
NCT03390686,Malaysia
NCT03390686,Philippines
NCT03390686,Poland
NCT03390686,Russia
NCT03390686,Serbia
NCT03390686,Slovakia
NCT03390686,Thailand
NCT03390686,Turkey (Türkiye)
NCT03390686,Ukraine
NCT01996306,Japan
NCT03935204,China
NCT00915382,South Korea
NCT01508546,Italy
NCT02870582,China
NCT00003343,United States
NCT06217042,China
NCT05624996,Canada
NCT05624996,United States
NCT07106762,Argentina
NCT07106762,Australia
NCT07106762,Austria
NCT07106762,Belgium
NCT07106762,Brazil
NCT07106762,Canada
NCT07106762,China
NCT07106762,Czechia
NCT07106762,France
NCT07106762,Germany
NCT07106762,Ireland
NCT07106762,Israel
NCT07106762,Italy
NCT07106762,Japan
NCT07106762,Netherlands
NCT07106762,Norway
NCT07106762,Romania
NCT07106762,Spain
NCT07106762,Sweden
NCT07106762,Switzerland
NCT07106762,United Kingdom
NCT07106762,United States
NCT07321652,United States
NCT00323830,South Korea
NCT04647526,Canada
NCT04647526,France
NCT04647526,Netherlands
